"code";"code_parent";"description";"layer_no"
"2041";"204";" Vervaardiging van zeep, wasmiddelen, poets- en reinigingsmiddelen";4
"2042";"204";"Vervaardiging van parfums en cosmetica";4
"205";"20";"Vervaardiging van overige chemische producten";3
"2051";"205";"Vervaardiging van kruit en springstoffen en van lucifers";4
"2052";"205";"Vervaardiging van lijm en bereide kleefmiddelen";4
"2053";"205";"Vervaardiging van etherische oliën";4
"2059";"205";"Vervaardiging van overige chemische producten (rest)";4
"206";"20";"Vervaardiging van synthetische en kunstmatige vezels";3
"2060";"206";"Vervaardiging van synthetische en kunstmatige vezels";4
"211";"21";"Vervaardiging van farmaceutische grondstoffen";3
"2110";"211";"Vervaardiging van farmaceutische grondstoffen";4
"212";"21";"Vervaardiging van farmaceutische producten (geen grondstoffen)";3
"2120";"212";"Vervaardiging van farmaceutische producten (geen grondstoffen)";4
"221";"22";"Vervaardiging van producten van rubber";3
"2211";"221";"Vervaardiging van rubberbanden en loopvlakvernieuwing";4
"2219";"221";"Vervaardiging van producten van rubber (geen banden)";4
"222";"22";"Vervaardiging van producten van kunststof";3
"2221";"222";"Vervaardiging van platen, folie, buizen en profielen van kunststof";4
"2222";"222";"Vervaardiging van verpakkingsmiddelen van kunststof";4
"2223";"222";"Vervaardiging van kunststofproducten voor de bouw";4
"2229";"222";"Vervaardiging van overige producten van kunststof";4
"231";"23";"Vervaardiging van glas en glaswerk";3
"2311";"231";"Vervaardiging van vlakglas";4
"2312";"231";"Vormen en bewerken van vlakglas";4
"2313";"231";"Vervaardiging van holglas";4
"2314";"231";"Vervaardiging van glasvezels";4
"2319";"231";"Vervaardiging en bewerking van overig glas,  inclusief technisch glaswerk";4
"232";"23";"Vervaardiging van vuurvaste keramische producten";3
"2320";"232";"Vervaardiging van vuurvaste keramische  producten";4
"233";"23";"Vervaardiging van keramische producten voor de bouw ";3
"2331";"233";"Vervaardiging van keramische tegels en plavuizen";4
"2332";"233";"Vervaardiging van  keramische producten voor de bouw (geen tegels en plavuizen)";4
"234";"23";"Vervaardiging van overige keramische producten";3
"2341";"234";"Vervaardiging van huishoudelijk en sieraardewerk";4
"2342";"234";"Vervaardiging van sanitair aardewerk";4
"2343";"234";"Vervaardiging van isolatoren en isolatiemateriaal van keramische stoffen";4
"2344";"234";"Vervaardiging van overig technisch aardewerk";4
"2349";"234";"Vervaardiging van overige keramische producten (rest)";4
"235";"23";"Vervaardiging van cement, kalk en gips";3
"2351";"235";"Vervaardiging van cement";4
"2352";"235";"Vervaardiging van kalk en gips";4
"236";"23";"Vervaardiging van producten van beton, gips en cement";3
"2361";"236";"Vervaardiging van producten voor de bouw van beton, kalkzandsteen en van cellenbeton";4
"23611";"2361";"Vervaardiging van producten voor de bouw van beton";5
"23612";"2361";"Vervaardiging van producten voor de bouw van kalkzandsteen en cellenbeton";5
"2362";"236";"Vervaardiging van producten voor de bouw van gips";4
"2363";"236";"Vervaardiging van stortklare beton";4
"2364";"236";"Vervaardiging van mortel in droge vorm";4
"2365";"236";"Vervaardiging van producten van vezelcement";4
"2369";"236";"Vervaardiging van overige producten van beton, gips en cement";4
"237";"23";"Natuursteenbewerking";3
"2370";"237";"Natuursteenbewerking";4
"239";"23";"Vervaardiging van overige niet-metaalhoudende minerale producten";3
"2391";"239";"Vervaardiging van schuur-, slijp- en polijstmiddelen";4
"2399";"239";"Vervaardiging van overige niet-metaalhoudende minerale producten (geen schuur-, slijp- en polijstmiddelen)";4
"241";"24";"Vervaardiging van ijzer en staal en van ferrolegeringen";3
"2410";"241";"Vervaardiging van ijzer en staal en van ferrolegeringen";4
"242";"24";"Vervaardiging van stalen buizen, pijpen, holle profielen en fittings daarvoor";3
"2420";"242";"Vervaardiging van stalen buizen, pijpen, holle profielen en fittings daarvoor";4
"243";"24";"Overige eerste verwerking van staal";3
"2431";"243";"Koudtrekken van staven";4
"2432";"243";"Koudwalsen van bandstaal";4
"2433";"243";"Koudvervormen en koudfelsen";4
"2434";"243";"Koudtrekken van draad";4
"244";"24";"Vervaardiging van edelmetalen en  overige non-ferrometalen";3
"2441";"244";"Vervaardiging van edelmetalen";4
"2442";"244";"Vervaardiging van aluminium";4
"2443";"244";"Vervaardiging van lood, zink en tin";4
"2444";"244";"Vervaardiging van koper";4
"2445";"244";"Vervaardiging van overige non-ferrometalen";4
"2446";"244";"Smelten en raffineren van uranium";4
"245";"24";"Gieten van metalen";3
"2451";"245";"Gieten van ijzer ";4
"2452";"245";"Gieten van staal";4
"2453";"245";"Gieten van lichte metalen";4
"2454";"245";"Gieten van overige  non-ferrometalen";4
"251";"25";"Vervaardiging van metalen producten voor de bouw ";3
"2511";"251";"Vervaardiging van metalen constructiewerken en delen daarvan";4
